2022-03-28 10:56:07,172 INFO 2022-03-28 10:56:07.172366 || Getting JSON data from https://dps.report/getJson?permalink=zNLs-20220325-192416_wvw
2022-03-28 10:56:09,967 INFO 2022-03-28 10:56:09.967556 || JSON data Retrieved 
2022-03-28 10:56:09,969 INFO 2022-03-28 10:56:09.968979 || Getting data from JSON 
2022-03-28 10:56:09,970 ERROR 2022-03-28 10:56:09.970677 || Couldnt get json/data from {'href': 'https://dps.report/getJson?permalink=zNLs-20220325-192416_wvw'} 
2022-03-28 10:56:09,971 ERROR 2022-03-28 10:56:09.971494 || 'Logger' object has no attribute 'write' 
2022-03-28 10:56:09,972 INFO 2022-03-28 10:56:09.972152 || https://dps.report/getJson?permalink=hP2i-20220325-192834_wvw 
2022-03-28 10:56:09,972 INFO 2022-03-28 10:56:09.972757 || Getting JSON data from https://dps.report/getJson?permalink=hP2i-20220325-192834_wvw
2022-03-28 10:56:14,074 INFO 2022-03-28 10:56:14.074519 || JSON data Retrieved 
2022-03-28 10:56:14,076 INFO 2022-03-28 10:56:14.075978 || Getting data from JSON 
2022-03-28 10:56:14,185 INFO 2022-03-28 10:56:14.184964 || Data retrieved 
2022-03-28 10:56:14,186 INFO 2022-03-28 10:56:14.186126 || https://dps.report/getJson?permalink=bQvH-20220325-193120_wvw 
2022-03-28 10:56:14,186 INFO 2022-03-28 10:56:14.186851 || Getting JSON data from https://dps.report/getJson?permalink=bQvH-20220325-193120_wvw
2022-03-28 10:56:17,467 INFO 2022-03-28 10:56:17.467529 || JSON data Retrieved 
2022-03-28 10:56:17,469 INFO 2022-03-28 10:56:17.469024 || Getting data from JSON 
2022-03-28 10:56:17,470 ERROR 2022-03-28 10:56:17.470758 || Couldnt get json/data from {'href': 'https://dps.report/getJson?permalink=bQvH-20220325-193120_wvw'} 
2022-03-28 10:56:17,471 ERROR 2022-03-28 10:56:17.471597 || 'Logger' object has no attribute 'write' 
2022-03-28 10:56:17,472 INFO 2022-03-28 10:56:17.472264 || https://dps.report/getJson?permalink=DX3W-20220325-193209_wvw 
2022-03-28 10:56:17,472 INFO 2022-03-28 10:56:17.472877 || Getting JSON data from https://dps.report/getJson?permalink=DX3W-20220325-193209_wvw
2022-03-28 10:56:20,388 INFO 2022-03-28 10:56:20.387683 || JSON data Retrieved 
2022-03-28 10:56:20,389 INFO 2022-03-28 10:56:20.389157 || Getting data from JSON 
2022-03-28 10:56:20,439 INFO 2022-03-28 10:56:20.439053 || Data retrieved 
2022-03-28 10:56:20,440 INFO 2022-03-28 10:56:20.440297 || https://dps.report/getJson?permalink=PpBC-20220325-193442_wvw 
2022-03-28 10:56:20,441 INFO 2022-03-28 10:56:20.441026 || Getting JSON data from https://dps.report/getJson?permalink=PpBC-20220325-193442_wvw
2022-03-28 10:56:24,652 INFO 2022-03-28 10:56:24.651810 || JSON data Retrieved 
2022-03-28 10:56:24,653 INFO 2022-03-28 10:56:24.653298 || Getting data from JSON 
2022-03-28 10:56:24,700 INFO 2022-03-28 10:56:24.700755 || Data retrieved 
2022-03-28 10:56:24,702 INFO 2022-03-28 10:56:24.701914 || https://dps.report/getJson?permalink=Fe8L-20220326-102301_wvw 
2022-03-28 10:56:24,702 INFO 2022-03-28 10:56:24.702637 || Getting JSON data from https://dps.report/getJson?permalink=Fe8L-20220326-102301_wvw
2022-03-28 10:56:28,238 INFO 2022-03-28 10:56:28.238210 || JSON data Retrieved 
2022-03-28 10:56:28,240 INFO 2022-03-28 10:56:28.239741 || Getting data from JSON 
2022-03-28 10:56:28,242 ERROR 2022-03-28 10:56:28.242023 || Couldnt get json/data from {'href': 'https://dps.report/getJson?permalink=Fe8L-20220326-102301_wvw'} 
2022-03-28 10:56:28,242 ERROR 2022-03-28 10:56:28.242817 || 'Logger' object has no attribute 'write' 
2022-03-28 10:56:28,243 INFO 2022-03-28 10:56:28.243478 || Getting Raid data 
2022-03-28 10:56:28,254 INFO 2022-03-28 10:56:28.254740 || Welcome to the Records of Valhalla! 
2022-03-28 10:56:29,093 INFO 2022-03-28 10:56:29.093437 || Raid data retrieved 
2022-03-28 10:56:29,160 INFO 2022-03-28 10:56:29.160604 || DONE PROCESSING DATA 
2022-03-28 10:56:55,322 INFO 2022-03-28 10:56:55.322369 || PROCESSING DATA 
2022-03-28 10:56:55,324 INFO 2022-03-28 10:56:55.323854 || Considering fights with at least 10 allied players and at least 10 enemies that took longer than 30 s. 
2022-03-28 10:56:55,325 INFO 2022-03-28 10:56:55.324862 || https://dps.report/getJson?permalink=v0Lw-20220325-192416_wvw 
2022-03-28 10:56:55,325 INFO 2022-03-28 10:56:55.325746 || Getting JSON data from https://dps.report/getJson?permalink=v0Lw-20220325-192416_wvw
2022-03-28 10:56:58,685 INFO 2022-03-28 10:56:58.685684 || JSON data Retrieved 
2022-03-28 10:56:58,687 INFO 2022-03-28 10:56:58.686920 || Getting data from JSON 
2022-03-28 10:56:58,688 ERROR 2022-03-28 10:56:58.688581 || Couldnt get json/data from {'href': 'https://dps.report/getJson?permalink=v0Lw-20220325-192416_wvw'} 
2022-03-28 10:56:58,689 ERROR 2022-03-28 10:56:58.689351 || 'Logger' object has no attribute 'write' 
2022-03-28 10:56:58,690 INFO 2022-03-28 10:56:58.690275 || https://dps.report/getJson?permalink=J2n4-20220325-192834_wvw 
2022-03-28 10:56:58,691 INFO 2022-03-28 10:56:58.690945 || Getting JSON data from https://dps.report/getJson?permalink=J2n4-20220325-192834_wvw
2022-03-28 10:57:01,847 INFO 2022-03-28 10:57:01.847216 || JSON data Retrieved 
2022-03-28 10:57:01,848 INFO 2022-03-28 10:57:01.848700 || Getting data from JSON 
2022-03-28 10:57:01,850 ERROR 2022-03-28 10:57:01.850425 || Couldnt get json/data from {'href': 'https://dps.report/getJson?permalink=J2n4-20220325-192834_wvw'} 
2022-03-28 10:57:01,851 ERROR 2022-03-28 10:57:01.851256 || 'Logger' object has no attribute 'write' 
2022-03-28 10:57:01,852 INFO 2022-03-28 10:57:01.851909 || https://dps.report/getJson?permalink=aJ7O-20220325-193120_wvw 
2022-03-28 10:57:01,852 INFO 2022-03-28 10:57:01.852505 || Getting JSON data from https://dps.report/getJson?permalink=aJ7O-20220325-193120_wvw
